,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
81,Atop Consultants,Data Scientist,India,"We are Hiring for a leading NBFC
Job title: Data Scientist
Location : Mumbai
Experience: Min 4 years (BFSI) as a Data Scientist
1: Job Purpose Statement:
The role of Data Scientist shall be to work on projects on analytics and reporting for MMFSL businesses by using high end analytical tools.
2: Duties & Responsibilities:
a. Shall be the specialist on Data Science/Analytics vertical at MMFSL. Shall collaborate with business managers to solve their business-data-challenges and provide impactful insights
b. The incumbent will interact with multiple members from client side by meeting them, interviewing them, taking data and processing it.
c. The incumbent will be creating the insights from data extracted from business units and converting them into a ""consumable format"" or ""self-servicing predictive portals"" for clients.
d. The incumbent would need to be hands on with use of Data Science tools like, R, Python, Azure ML, Amazon ML, Google ML etc. Ability to self-process the data and come out with models/ insights is a must.
e. Needs to apply sophisticated AI tools like Randomforests, Support Vector Machines, Deep neural networks, Advanced Regression, etc. techniques to data problems.
3: Key Challenges:
 Able to explain key Data science approaches in layman term to the business people.
 Able to understand the business requirement and translate them into algorithm.
Job Types: Full-time, Regular / Permanent
Salary: ₹1,000,000.00 - ₹1,700,000.00 per year
Schedule:
Evening shift
Flexible shift
Monday to Friday
Night shift
Supplemental pay types:
Overtime pay
Shift allowance
Ability to commute/relocate:
Worli, Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Experience:
BFSI Data Scientist: 4 years (Required)
Speak with the employer
+91 9106422484
Show Less
Report","₹13,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
82,"Intellect Design Arena
4.0",Data Scientist,Chennai,"Who we are looking for
A Natural Language Processing (NLP) expert with strong computer science fundamentals and experience in working with deep learning frameworks. You will be working at the cutting edge of NLP and Machine Learning.

Roles and Responsibilities
Work as part of a distributed team to research, build and deploy Machine Learning models for NLP.
Mentor and coach other team members
Evaluate the performance of NLP models and ideate on how they can be improved
Support internal and external NLP-facing APIs
Keep up to date on current research around NLP, Machine Learning and Deep Learning
Mandatory Requirements
Any graduation with at least 2 years of demonstrated experience as a Data Scientist.
Behavioural Skills
Strong analytical and problem-solving capabilities.
Proven ability to multi-task and deliver results within tight time frames
Must have strong verbal and written communication skills
Strong listening skills and eagerness to learn
Strong attention to detail and the ability to work efficiently in a team as well as individually
Technical Skills
Hands-on experience with
NLP
Deep Learning
Machine Learning
Preferred Requirements
Experience in Computer Vision is preferred
What We Offer
At Intellect, we believe in the power of dreams and we follow a simple but vital premise – If you dream it, you can do it. As a Data Scientist, you will evaluate and improve Intellect’s products. You will collaborate with a multi-disciplinary team of Engineers and Analysts on a wide range of problems, bringing analytical rigor and statistical methods to the challenges of measuring quality, improving products and understanding the behavior of end-users.
Intellect proudly offers the opportunity to work in an environment built on collaboration, flexibility and respect.
Show Less
Report","₹8,99,373 /yr (est.)",1001 to 5000 Employees,Company - Public,Information Technology,Computer Hardware Development,2014,$100 to $500 million (USD)
83,"Atotech
4.1",Data Scientist,India,"Atotech, a brand within the Materials Solution Division on MKS Instruments, develops leading process and manufacturing technologies for advanced surface modification, electroless and electrolytic plating, and surface finishing. Applying a comprehensive systems-and-solutions approach, Atotech's portfolio includes chemistry, equipment, software, and services for innovative and high-technology applications. These solutions are used in a wide variety of end-markets, including datacenter, consumer electronics and communications infrastructure, as well as in numerous industrial and consumer applications such as automotive, heavy machinery, and household appliances.
With its well established innovative strength and industry-leading global TechCenter network, MKS delivers pioneering solutions through its Atotech brand - combined with unparalleled on-site support for customers worldwide. For more information about Atotech, please visit us at atotech.com

Job Profile
We are looking for a Data Scientist who will support our product development and leadership teams with insights gained from analysing R&D data. Data scientist is needed to guide the data gathering and data mapping techniques used in the ELN project. Currently we are collecting data in a team-oriented structure, and we require a data scientist to look in to these data structure to identify the similarity and corelation in a statistical method. Data scientist is also needed to summarize the findings by using dashboarding functionalities in TIBCO Spotfire. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Responsibilities
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.

Skills we are looking for
Strong problem solving skills with an emphasis on chemical product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Required
We’re looking for someone with 1-3 years of experience manipulating data sets and building statistical models, has a Bachelors or Masters or PhD in Statistics, Mathematics, Computer Science, Bioinformatics or another quantitative field, and is familiar with the following software/tools:
Coding knowledge and experience with several languages: Javascript,VBscrpipt.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining.
Experience querying databases and using statistical computer languages: R or Python.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience with distributed data/computing tools: Map/Reduce, MySQL
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, TIBCO spotfire.""
Experience in modeling, de novo prediction, structure visualization and analysis, docking, molecular dynamics, and structure- based small molecules.
Show Less
Report",#N/A,1001 to 5000 Employees,Company - Private,Manufacturing,Chemical Manufacturing,1993,$2 to $5 billion (USD)
84,"Cyient
3.5",Data Scientist,Hyderābād,"Cyient is a global engineering and technology solutions company. As a Design, Build, and Maintain partner for leading organizations worldwide, we take solution ownership across the value chain to help clients focus on their core, innovate, and stay ahead of the curve. We leverage digital technologies, advanced analytics capabilities, and our domain knowledge and technical expertise, to solve complex business problems.
With over 15,000 employees globally, we partner with clients to operate as part of their extended team in ways that best suit their organization’s culture and requirements. Our industry focus includes aerospace and defence, healthcare, telecommunications, rail transportation, semiconductor, geospatial, industrial, and energy.
Job Description
Cyient is looking for energetic and disruptive Geospatial Data Scientists to join our Geospatial team. We’re looking for experienced people who know how to create and analyze Geospatial data using the latest Artificial Intelligence frameworks. You should be an expert in building fully automated data pipelines that require as little human intervention as possible.
You’ll also need to be good at understand customer needs and ensuring that what you build is the most efficient way to address these, even if it means building something new or different to existing established systems.
Your Skills
Creating and analyzing geospatial datasets using Artificial Intelligence:
Semantic segmentation (from mobile imagery or aerial/satellite imagery).
Labelling/Annotation, training and validation.
Feature identification.
Computer Vision based Feature extraction.
Geometry correction.
Hosting and Visualization.
Automated data pipelines for AI
Data Processing (imagery, geospatial data).
Conversion.
GPU processing and cloud architecture for efficient data manipulation.
Creating services-based architecture combining multiple components towards a outcome.
Application Industrialization/scale-up (Devops principles for deployment of large scale deployments in real-world production environments).
Experience of ‘human in the loop’ flowlines but with an emphasis in removing as much of the human element as possible, whilst ensuring sufficient governance and oversight for the creation of good quality outputs.
Technical Abilities
Geospatial software and platforms such as PostGIS, Esri, QGIS.
Geospatial data toolsets such as GDAL
Data and automation technology such as Python
AI specific tools such as TensorFlow, Pytorch, CNTK, Caffee, etc)
Big Data (Databricks, Kubernetes, Azure data lake/data factory, etc)
Geospatial data formats including Lidar, Aerial Imagery, Satellite Imagery and potentially SAR and hyperspectral.
Skills & Experience
Artificial Intelligence (AI), Computer Vision, Geospatial, Python
Cyient is an Equal Opportunity Employer.

Cyient recruits, employs, trains, compensates, and promotes regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, veteran status, and other protected status as required by applicable law. We are proud to be a diverse and inclusive company where our people can focus their whole self on solving problems that matter.
Show Less
Report","₹4,83,918 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1991,$500 million to $1 billion (USD)
85,Claim Genius india Pvt Ltd,Junior Data Scientist,Pune,"1. Data Scientist:
Position: Data Scientist / Sr. Data Scientist / Data Analyst / Sr. Data Analyst
Experience: 1+/3+ Years[Relevant Skills]
Location: Pune
Responsibilities :
The Machine Learning Software Engineer will be an early member of a growing team with responsibilities for designing and developing highly scalable machine learning solutions that impact many areas of our business.
The individual in this role will help in the design and development of Neural Network (especially Convolution Neural Networks) & ML solutions based on our reference architecture which is underpinned by big data & cloud technology, micro-service architecture and high performing compute infrastructure.
Typical daily activities include contributing to all phases of algorithm development including ideation, prototyping, design, and development production implementation.
Desired Candidate Profile
Required Skills :
Expertise in CNN, Image Processing, Computer Vision and Deep Learning is a must.
An ideal candidate will have a background in software engineering and data science with expertise in machine learning algorithms, statistical analysis tools, and distributed systems.
Experience in building machine learning applications, and broad knowledge of machine learning APIs, tools, and open-source libraries
Strong coding skills and fundamentals in data structures, predictive modeling, and big data concepts
Experience in designing full stack ML solutions in a distributed computing environment
Experience working with Python, Tensor Flow, Keras, Sci-kit, pandas, numpy, AzureML, AWS GPU
Excellent communication skills with multiple levels of the organization
Job Type: Full-time
Salary: ₹400,000.00 - ₹800,000.00 per year
Benefits:
Flexible schedule
Health insurance
Provident Fund
Schedule:
Day shift
Ability to commute/relocate:
Pune, Pune - 411045, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Experience:
Image processing: 1 year (Required)
Work Location: One location
Speak with the employer
+91 9960877222
Application Deadline: 09/12/2022
Expected Start Date: 02/01/2023
Show Less
Report","₹6,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
86,"Ayruz Data Marketing
4.4",Data Scientist,Kerala,"Experience: 1 year or more
Qualification: B-Tech, M-Tech, MSc (IT, Computer Science, Electronics Science)
Vacancies: 02
Description: We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large datasets and working with stakeholders to improve business outcomes.
Responsibilities for Data Scientist
Specialization in fields like math, statistics, computer science, or something closely related.
Work with large amounts of data: facts, figures, and number crunching. See through the data and analyze & interpret it to find conclusions.
Present their findings, or translate the data into an understandable document. You will need to write and speak clearly, easily communicating complex ideas.
Look at the numbers, trends, and data and come to new conclusions based on the findings.
Have to make sure they are vigilant in their analysis to come to correct conclusions.
Strong math and analysis skills are needed to estimate numerical data.

Core skills/experience
Have an interest in sports. Data collection will be related to sports.
Know any of the scripting language (Preferred: Python).
Experience in participating in new business pitches.
Excellent organizational and time management skills with strong attention to detail.
Experience in working professionally with Word, Excel, and PowerPoint.
We’d like you to be
Self-motivated and able to work within a dynamic environment.
Good under pressure and can multitask without a reduction in work quality and concentration.
A great communicator, both verbal and written.
Experience working in a similar agency environment, although not essential.
The package
We offer a good salary, negotiable dependent on qualifications and experience. On top of this, we have a generous benefits package.
Interviews will be held immediately on receipt of suitable applications.
Show Less
Report",#N/A,1 to 50 Employees,Self-employed,#N/A,#N/A,#N/A,Unknown / Non-Applicable
87,"Deloitte
4.1",A&A -Data Scientist - AI POD,Bangalore,"Data Scientist
As a Data Scientist, you will be supporting the Data Science group and actively participating in all the processes of a data science project, including exploratory data analysis, feature generation and selection, model creation, and model optimization to boost performance and accuracy. It is important that the person in this role is proactive and independent. You should be a problem solver with an open mind and an eagerness to pick up new skills ranging from deeper statistical analysis and better modeling skills to honing programming and communication skills.
Specifically, you will be expected to:
Apply data science practices on your specific assigned workstreams; particularly:
o Perform exploratory data analysis to understand relationships and opportunities to influence outcomes
o Select appropriate machine learning models for tasks, and building and training working versions of those models using Python and other open-source tools
o Score and explain the performance of models applied to data
o Develop and document proofs of concept to verify ideas
Collaborate daily with Data Science Managers and Data Scientists to receive guidance and feedback on your work to develop your skills and ensure alignment with workstream objectives
Be a contributor to the planning and direction of a project and effectively prioritize your tasks and objectives
Contribute to internal discussions on emerging machine learning methodologies
Qualifications

Required:
Undergraduate degree in a quantitative field (computer science, engineering, mathematics, physics, machine learning, statistics)
Experience using Python and relevant libraries (NumPy, Pandas, Scikit-learn, etc.)
Coursework related to machine learning, NLP, deep learning, and programming
Hands-on application experience using common machine learning (atleast 1 project ) libraries and techniques, including TensorFlow, PyTorch, and big data platforms
Demonstrated ability to write high-quality code
Demonstrated ability to develop machine learning models
Preferred:
Master’s degree in a quantitative field (computer science, engineering, mathematics, physics, machine learning, statistics)
Data Bricks
Relevant work experience (internships, school jobs, etc.)
Familiarity with the Microsoft Azure cloud-based ecosystem, including Azure DevOps
Familiarity with machine learning model development life cycles
Experience with version control practices and tools (Git, etc.)
Public AI-related projects you have developed available on GitHub

Recruiting tips
Finding the right job and preparing for the recruitment process can be tricky. Check out tips from our Deloitte recruiting professionals to set yourself up for success. Check out recruiting tips from Deloitte recruiters.
Benefits
We believe that to be an undisputed leader in professional services, we should equip you with the resources that can make a positive impact on your well-being journey. Our vision is to create a leadership culture focused on the development and well-being of our people. Here are some of our benefits and programs to support you and your family’s well-being needs. Learn more about what working at Deloitte can mean for you.
Our people and culture
Our people and our culture make Deloitte a place where leaders thrive. Get an inside look at the rich diversity of background, education, and experiences of our people. What impact will you make? Be inspired by the stories of our people.
Professional development
You want to make an impact. And we want you to make it. We can help you do that by providing you the culture, training, resources, and opportunities to help you grow and succeed as a professional. Learn more about our commitment to developing our people.
Requisition code: 122484
Start your job application: click Apply Now
Show Less
Report","₹6,57,674 /yr (est.)",10000+ Employees,Company - Private,Finance,Accounting & Tax,1850,$10+ billion (USD)
88,"WSD Consultant
5.0",Junior Data Scientist/ta,Gurgaon,"Junior Data Scientist/ta
Gurugram, Bangalore, Mumbai, Pune, Chennai, Hyderabad


candidate should qualify checklist written below:

Ques: Does the candidate has strong knowledge in Data Science/ Machine Learning/ Artificial Intelligence ? Please mention

Ques: Is the candidate willing to work full time as a Data Science program Manager/ Academic and content delivery/ End to End Curriculam delivery and management ?

Ques: Does the candidate has Data Science/ Machine learning content development and academic delivery experience/ Faculty Development programs in any Teaching Institution or E - Learning Companies?


Job Specifications

Exp. 1.0 - 5.0 Year(s)
Annual Fixed CTC Min : 7.0 Lacs Max: 15.0 Lacs
Qualification B.Tech/B.E. , Any Post Graduation
No of openings 3
Additional Doc/Msg
Experience
1 - 5 Years

Salary
7 Lac To 15 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
Other Bachelor Degree, MD/Medicinae Doctor, Other Doctorate Degree

Key Skills
Data Scientist


About Company
Company Name
Great Learning


About Company
Great Learning is an online and hybrid learning company that offers high-quality, impactful, and industry-relevant learning programs to working professionals. These programs help them master data-driven decision-making regardless of the sector or function they work in and secure their career growth into the future. These programs are delivered through a convenient and robust technology-enabled experience with no disruption to their careers.

Contact Person
Pramod Kumar

Address
Gurgaon

Mobile
8506010400

Email ID
jobwsd@gmail.com
Show Less
Report","₹11,00,000 /yr (est.)",Unknown,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
89,R3coder,Data Scientist,Ahmedabad,"Ahmedabad
Be a part of the movement to revolutionize the in-store customer experience through the loyalty program and the other features we have to offer.We believe in creating memories that will last forever. We want to help businesses develop personal connections with their customers and provide the customers with experiences that they will cherish forever and will keep them coming back.
We’re scrappy, hard-working perfectionists looking for people who can add immediate value to our team. As a member of the founding team of # Loyalty, you will have the opportunity to work across different business verticals in an extremely faced paced environment. You'll play a key role in product development, strategy and other business decision.
Job Description
Machine Learning & Artificial Intelligence are embedded deeply into our products evolution. We are looking for talented individuals to help us build these tools and embed them into our product offering. The exposure and impact on the product will be massive! And select individuals would be offered a full-time or part-time position post the internship, depending on the performance during the same.
What we're looking for:
Experience working with Python and libraries like NumPy, SciPy, Pandas, Scikit-learn, Tensorflow etc.
Experience working with large data-sets (provide links to your work on Github/Kaggle)
Solve complex performance problems and architectural challenges
Passionate about Machine Learning and AI
Strong knowledge of PHP web frameworks {{such as Laravel, CI,}}
Worked on real world recommender / ranking systems
Prior experience working at a startup environment would be great
Other Skills
Python, Machine Learning, Numpy/Scipy/Pandas/Scikit-learn
Should be able to handle a team technically.
Experience
PHP: 1+ years (Preferred)

Contact Us to Apply : (+91) 851 187 8094 info@r3coder.com
Show Less
Report",#N/A,Unknown,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
90,"Mu Sigma | Mega Job-A-Thon
4.3",Trainee - Data Science,Bangalore,"Solving a problem can be as simple or as complicated as you make it to be. But the key to
solving a problem is Asking the right questions to enable the process of decision making.
This is where we come in we solve problems by bringing down the cost of asking questions.
Mu Sigma is one of the worlds largest Decision Sciences and Analytics firm. We help over
140 Fortune 500 clients, across 10 industry verticals, to institutionalize data-driven decision
making, and to harness Big Data. We provide our clients with a holistic ecosystem of
proprietary technology platforms, processes, and people. This ecosystem helps us scale the
use of our unique interdisciplinary approach of combining math, business, technology,
behavioral science and design thinking to operationalize Decision Science as opposed to Data
Science.
Our unique approach to problem solving using cross-industry expertise corroborates our
sustainable engagement model with our clients still further, making us one of the most
preferred analytics and Decision Sciences partners.
With over 3000 Decision Sciences professionals, we take pride in being a category and career
defining company. As we continue to scale, we are also looking at hiring the right talent
across various levels in our organization. Our unique talent management philosophy has
been critically acclaimed by the likes of Harvard Business Review.

Role & responsibilities:
Take actions to ensure healthy growth of the engagement with focus on high quality
delivery and client relationships
Collaborate with the client services team to assess and take decisions regarding the
health of the engagement
Work with your team to solve complex problems. Typically, these business problems
cannot be solved using a linear/single line of thought. Use first principle thinking,
coupled with basics of math and technology to arrive at a robust solution design,
while collaborating with the others in the team
Provide support for projects in areas ranging from: core data engineering, design
architecture, cloud capabilities to mathematical model building, evaluation, and
operational support
We have an open work culture, and we encourage sharing of ideas. You would see
yourself sharing ideas and participating in discussions with team members across
teams. You would be dealing with problems from team members, direct reports and
superiors from various backgrounds and experiences.
Collaborate with the various business functions in Mu Sigma, like Sales, Marketing,
Mu Sigma University, Talent Management and Delivery & Innovation, helping them
from your experiences in delivery, and learning their way of operating, in return
The workday stretches into late evenings and you would find yourself talking to the
client, presenting insights from work and engaging the clients in discussions around
growth and future pipeline development. You would have to work on defining this
pipeline and ensuring growth is driven by great delivery and satisfactory client
engagement
In short, a day would involve delivery be it brainstorming on a project, QCing codes
on Python/R/SAS or whatever technology it takes, preparing a deck for delivering
insights and growth, collaborating with the India Leadership to come up with new
ideas and solution design, driving client conversations centered around growth and
guiding team members across the lifecycle of the engagement
Skills & Competencies:
Possess strong analytical/logical thinking skills and clarity of thought to identify and solve business problems
Ability to learn complex businesses very quickly, define problems accurately while paying attention to detail in the solution
Good to have experience in Excel, VBA/Macros, SQL, SAS/R
Competency and interest in Business Technology, both academically and professionally, is preferred
Ability to extract and analyze data from multiple sources using analytical tools
Ability to manage and multi-task under tight deadlines
Strong interpersonal and communication skills
Demonstrated leadership within or outside a work setting. You should be someone who frequently takes initiative and is eager to break new ground
Preferable Qualities
Ready to take ownership of multiple applications
Ready to stretch beyond normal hours during build and high support activity times
Qualification
Graduated B.E/B.Tech any domain in 2019 / 2020/2021/2022 with aggregate of 7 CGPA
A minimum aggregate of 70% in class 10th and 12th
Show Less
Report","₹4,60,976 /yr (est.)",201 to 500 Employees,Company - Private,Education,Colleges & Universities,#N/A,Unknown / Non-Applicable
91,Predictive Research,"Data Engineer, Machine Learning",Bangalore,"We are looking Only Freshers candidates. B tech/ BE( Computer science Only please) MCA, ME, M Tech.
Must knowledge about Python.
Don't Apply if you don't have these degree.
Job Type: Full-time
Salary: ₹240,000.00 - ₹320,000.00 per year
Schedule:
Day shift
Ability to commute/relocate:
Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Show Less
Report","₹2,80,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
92,Financial Fabric,Data science Developer,Calcutta,"Candidates will use the advanced tools and technologies to develop Financial Services applications for Hedge Fund, Wealth Management, and Corporate Treasure clients. Candidates will utilize modern Microsoft developer technologies to bring “ideas” to client application usage on the Cloud. New graduates or experienced developers with strong analytic and programming skills who are detail-oriented, and highly motivated to work in a fast-paced FinTech are encouraged to apply.
The ideal candidate will be responsible for developing high-quality applications in Python in the Azure Platform. They will also be responsible for designing and implementing testable and scalable code. Develop python-based applications in the Azure Platform using different Python libraries, ideally in VS Code.
Minimum Qualification: Any graduate degree in Computer Science / Data science or equivalent.
Must-Have Skills: SQL, Python, Object-Oriented Programming, DBMS, ETL process.
Desired Skills: Power BI, Azure Cloud Services, and Knowledge of R language will be an added advantage.
Overall Experience: 0-1 years
Job Requirements:
Strong knowledge of Pandas, NumPy, UDFs, Regular expression, looping concepts, Exception Handling, Logger method, etc.
Strong knowledge of Object-Oriented programming, and ETL processes.
Have knowledge of handling JSON, XML, and HTML data in python.
Experience with different types of API and API tester apps in python will be helpful.
Knowledge of web scraping, data processing, Data Manipulation, and text mining.
Knowledge of queries in SQL databases from Python will be helpful.
Sound knowledge in File handling. Can work on PDF files.
Must possess excellent debugging and troubleshooting skills
Should have an idea of the end-to-end workflow of any project
Must have good communication skills and work in a collaborative environment.
About Financial Fabric
Financial Fabric (www.financialfabric.com) is a FinTech startup, with registered offices in the United States and India, providing DataHub technology services to hedge funds, asset managers, wealth managers, institutional investors, broker-dealers, and other financial services organizations. The Financial Fabric DataHub service uses Microsoft data platforms, proprietary data models, and analytics. It combines traditional big data and machine learning technologies to solve different classes of data and analytical problems.
You will be part of the Financial Fabric development team, with opportunities to learn and contribute to financial services analytics development and rollout using leading-edge technologies, big data, and machine learning platforms. We provide a fast-paced challenging environment delivering new products and providing rapid growth potential.
Job Types: Full-time, Regular / Permanent
Salary: ₹300,000.00 - ₹320,000.00 per year
Benefits:
Provident Fund
Work from home
Schedule:
Day shift
Monday to Friday
US shift
Ability to commute/relocate:
Kolkata, West Bengal: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Required)
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
R Programming: 1 year (Preferred)
Show Less
Report","₹3,10,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
93,"Mercedes-Benz Research and Development India Private Limited
4.2",Data scientist - Battery models,Bangalore,"Aufgaben
Data Scientist (Battery Modelling and Ageing )
About MBRDI
Mercedes-Benz Research & Development India Headquartered in Bengaluru was founded in 1996 as a captive unit to support Daimler’s research, IT and product development activities. We focus on topics ranging from computer-aided design and simulations (CAD, CAE) for powertrain, chassis and exteriors to embedded systems, telematics and developing various IT applications and tools. The satellite office in Pune specializes in interior component designs and IT engineering. It is now one of the largest global R&D centers outside Germany, employing more than 3000 + skilled engineers. It aims to partner closely with suppliers in India for its activities in product development and IT services.
""We are an equal opportunity employer and value diversity at our company"".
Job Description:
The position presents a unique opportunity to improve and transform the current state of art in the field of Battery Ageing Analytics. The ideal candidate will:
1. Work with the battery experts to identify the improvement areas in the current available techniques.
2. Provide quality solution design for the identified areas.
3. Transform the current state of Battery Ageing techniques using Machine Learning techniques.
4. Design methods to handle high volume of Data, data cleansing, processing, efficient storing.
5. Accelerate Data science Model Development and Model Management using cloud native solutions.
Expected Skills:
Level :: Advanced

Excellent Problem Solving Skills.
Excellent communication skills with ability to present solutions in a clear articulate way to both Senior Management and Staff level.
Expertise is statistics is a must. Knowledge on probability distributions is a must.
Experience in Physics based modelling.
Expertise in Machine Learning and Deep Learning using Python and Pyspark.
Must have demonstrated building high accuracy regression, classification models using statistics based learning or Deep Learning. Experience of working with LSTM, XGBoost, LGBM is a must.
Demonstrated ability to work with a variety of Deep Learning frameworks including Tensorflow, Keras, CNTK etc.
Must have Hands on experience in PySpark (Dataframe and RDDs).
Must have hands on experience on Databricks, MLFLow, Airflow.
Have experience in handling data workflow and monitoring big data application.
Familiarity with data engineering is also a must. Should have experience is writing complex queries for data extraction.
Good to have knowledge on working with Genetic Algorithms.
Good to have Azure knowledge or any cloud experience.
Qualifikationen
BE / ME/ M.Tech / M.S
Show Less
Report","₹6,38,749 /yr (est.)",10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1886,Unknown / Non-Applicable
