company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,hourly,monthly,company_txt,age,python_yn,R_yn,spark,aws,excel
"OptiSol Business Solutions Pvt Ltd
4.5",Machine Learning Engineer,Coimbatore,"Experience: 3 to 5 years
Salary Range: 8 to 15LPA
“We are a tribe of happy people obsessed with customer success “
Sample our work culture at Life at OptiSol Portal https://culture.optisolbusiness.com
Mandatory Skills Sets: Machine Learning | Deep Learning | Artificial Intelligence| Computer Vision | Python| NOSQL
Key roles&Responsibilities
In depth knowledge of Python and its data analysis and machine learning packages like Scikit Learn, OpenCV, TensorFlow, Keras, PyTorch etc.
Hands-on Experience in Data analysis methodology from exploratory data analysis, feature engineering, model selection, deployment of the model at scale and model evaluation
Strong problem-solving skills and proficient understanding of data structures, and algorithms.
Prior exposure to cloud platforms (preferable AWS) to deploy data pipelines and to use AWS tools/services like AWS SageMaker, Kinesis, MLFlow etc.,
Ability to lead requirements sessions with clients and project teams related to Machine learning and Deep learning.
Work with developers, product managers, business managers and designers to build statistical models for presenting to client or management people.
Hands- on experience of SQL databases such as MySQL, MariaDB, Oracle, PostgreSQL. (Anyone)
Hands- on experience with NoSQL databases such as HBase, Cassandra, Cosmos DB, DynamoDB, MongoDB (Anyone)
Proficient understanding of code versioning tools, such as Git/Bitbucket.
Ability to inspire team at all levels through his/her communication and promote an environment of open communication
Perks & Benefits:
Career Development
Learning & Development program
Best Salary in Industry
Heath & Medical Insurance (Group Medical Coverage)
Flexitime, Work-at-Home & Hybrid Options
Work/life balance
Team Lunch, Employee engagement & Team Outing
Employee recognition and reward programs
Job Type: Full-time
Salary: ₹800,000.00 - ₹1,500,000.00 per year
Benefits:
Flexible schedule
Health insurance
Internet reimbursement
Life insurance
Paid sick time
Provident Fund
Work from home
Schedule:
Day shift
Ability to commute/relocate:
Coimbatore, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 3 years (Preferred)
Speak with the employer
+91 9940775556
Show Less
Report","₹11,50,000 /yr (est.)",201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2007,$5 to $25 million (USD),0,0,OptiSol Business Solutions Pvt Ltd,15,1,0,0,1,0
Centre For Translational Cancer Research -Prashanti Cancer Care Mission,Junior Data Scientist (Breast Cancer Clinical Data),Pune,"Job Description: Junior Data Scientist (Breast Cancer Clinical Data)
We at PCCM-CTCR are looking for the following candidate to join our Data Team to evolve the existing system and design the needed schema for research and medical-related data.
Responsibilities:
Knowledge of different information types and domains and aptitude to understand domains in the clinical field.
Some familiarity with GUI design and implementation and comfort with python is preferred.
Good communication skills and ability to work independently
Clinical Data entry, management and curation
Clinical Data record keeping
General project Administration and Reporting
Understanding and analysis of clinical metadata sheets.
You may also be required to contribute to various other verticals as needed.
Culture:
Applicant must own his/her work
Precision and diligence is a prerequisite
No compromise with our core values
The position is based in Pune city
This is a full time position
Work from home option is not available for this position.
6 days a week 10:00 am to 6:00 pm
Research Centre Profile:
Prashanti Cancer Care Mission, Pune has a growing Breast Cancer Research department. In a powerful model of public-private partnership, IISER Pune and Prashanti Cancer Care Mission established the Center for Translational Cancer Research (CTCR). CTCR aims to bring together clinicians and researchers to integrate breast cancer research, training, and education. This Centre is a first-of-its-kind initiative in India with world-class infrastructure and facilities for multidisciplinary training in translational cancer research. We anticipate that the activities of the Centre will have a direct positive impact on the national capacity for translational cancer research and, most importantly, on effective management of cancer in India. CTCR is the leading member in the formation of ICGA foundation. ICGA aims to build teams for multi-omics studies in Indian cancers. CTCR also has a valuable association with Persistent Systems and is initiated with a seed grant from Bajaj Auto
Job Type: Full-time
Salary: ₹25,000.00 - ₹35,000.00 per month
Benefits:
Health insurance
Schedule:
Day shift
COVID-19 considerations:
Yes
Application Question(s):
List experience or degree in Biological Sciences
Experience:
total work: 2 years (Required)
Show Less
Report","₹30,000 /mo (est.)",-1,-1,-1,-1,-1,-1,0,1,Centre For Translational Cancer Research -Prashanti Cancer Care Mission,-1,1,0,0,0,0
"Larsen & Toubro Limited
3.5",Computer Vision/Artificial Intelligence,Chennai,"Smart World And CommunicationChennai Head Qrs.
Required Experience
3 - 5 Years
Posted On
16 Dec 2022
Skills
Knowledge & Posting Location
Minimum Qualification
B.TECH/B.E
Job Description
Responsibilities
Responsible for Implementing and testing architecture and specifications, to assure correctness and consistency with the algorithm
Research, design, develop and evaluate advanced image processing and computer vision algorithms for a real-time computer vision pipeline including but not limited to camera calibration, multi-object tracking, object detection and classification, segmentation, and multi-sensor fusion
Maintain and improve our existing in-house algorithms and models, including continuous evaluation, gap analysis, re-training and fine tuning.
Develop state of the art deep learning networks and architectures across data from multiple sensors; Tasks include training, evaluating, benchmarking and deployment into real-time pipelines
Optimize algorithm performance across a wide range of development platforms and embedded systems
Develop evaluation scripts to process large data and accurately measure algorithmic and end to end performance.
Stay abreast with new innovations and the latest technology trends and explore ways of leveraging these for improving the product in alignment with the business.
Design and Implementation of AI product roadmap along with AI engineering team.

Qualifications/Skills
Experience:
B. Tech / B.E in computer science or any other allied fields from premier institutions.
Advanced Degree preferably in applied mathematics, statistics, computer science, data science, electrical engineering, physics, or closely related field
Certification or expertise on at least one of the following platforms: Google Vision, AWS Rekognition, Azure Computer Vision/Face/Content Moderator, or Watson Visual Recognition
8 to 12 years of industry experience in machine learning/computer vision with at least 5 years of experience as a Computer vision architect.
Deep expertise in machine learning, deep learning, image processing, computer vision
Strong Python/C++ programming, familiarity with software development best practices, debugging/profiling.
Understanding of stereo / multi view geometric computer vision and classical computer vision for natural scene images
Extensive experience with OpenCV, PIL, and other image processing libraries
Expertise in computer vision or deep learning frameworks and libraries, e.g. PyTorch, OpenCV, Keras, TensorFlow, scikit-image, ONNX
Experience with quantitative modelling (design, development & implementation) using 3+ types of algorithms (e.g., YOLOv3, RetinaNet, Faster R-CNN)
Expertise in fields e.g. structured information extraction, object detection, action recognition, image segmentation, spatiotemporal modelling (hybrid CNN/RNN)
Experience with writing production level code
Familiarity with data science toolkit such as jupyter lab/notebooks, pandas, bash scripting, Linux environment
Preferable:
Experience and understanding of Smart Cities, Safety & Mobility domains.
Must have skills:
Strong knowledge of the state-of-the-art in computer vision algorithms and techniques with a solid understanding of underlying sensing technologies
Deep understanding of algorithms and workflows, in particular working with visual data
Solid understanding of state-of-the-art capabilities and design of sensing and compute architectures
Strong working knowledge in networking and other data-centre technologies
Strong problem solving and logical skills & A Go-getter kind of attitude
Show Less
Report","₹3,65,335 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,2014,$500 million to $1 billion (USD),0,0,Larsen & Toubro Limited,8,1,0,0,1,0
Evolve robot Lab,Artificial Intelligence Internship,India,"About Company: Evolve Robot Lab is the India's first robot innovation lab for Robotics Engineering & Artificial Intelligence Solution.
Robotics research company"", with the grand vision to improve the quality of life in the very part of India with various deep tech solutions.
Who we are: Robotics start-up with young creative team based out of Madras, Tamilnadu We are making affordable robotics product for both industrial & military application.
Our Edu-Tech training facilitate to inspire & educate the next 10 million young generation of innovators, engineers, scientist & artists in the field of Robotics.
Our specialization :
Artificial Intelligence & Data Science
Mobile Robotics
Legged Robotics
What We Do:
STEM Education: Developing Young Minds for the Future through quality teaching on robotics tool
Industrial Service: Our product development include Robotics research and automation for industries and home applications. Artificial Intelligence Solution for 21st Century Digital landscape.
About the Internship:
Selected intern's day-to-day responsibilities include:
1. Work on Artificial Intelligence
2. Work on developing Algorithms
3. Handle Designing and Development of AI Robots.
4. Handle daily task completion using AI, MATLAB, ROS, CAD, Vrep etc
5. Programming chatbox
6. Autonomous Robot Designing
7. Training Clients on AI technology
Skills required: Arduino, Robotics, Raspberry Pi, Programming, CAD, Presentation, Problem-solving
Who can apply:
1. Only students or freshers can.
2. Candidates having relevant skills and interests.
3. Candidates who have already graduated or are currently in any year of study.
Preferable Canditates :
Artificial Intelligence & Data Science, Computer Science & Electronics & Communication Engineering, Information Technology, Mechatronics Engineering
Perks: Stipend based on Performance, Internship Completion Certificate, Letter of recommendation.
Job Types: Full-time, Part-time, Regular / Permanent, Internship, Fresher
Salary: Up to ₹12,000.00 per month
Benefits:
Internet reimbursement
Schedule:
Flexible shift
Supplemental pay types:
Performance bonus
Education:
Bachelor's (Preferred)
Show Less
Report","₹12,000 /mo (est.)",-1,-1,-1,-1,-1,-1,0,1,Evolve robot Lab,-1,0,0,0,0,0
Hire Me Technology Limited,Computer Vision / Machine Learning Engineer (Remote),New Delhi,"We are looking for excellent Computer Vision engineers who can take initiatives, design, and develop advanced machine learning solutions, and deploy them directly to the given platform. A talented machine learning engineer with expertise in computer vision and can apply different kinds of machine learning models to a diverse range of exciting and impactful client projects especially human detection, face tracking and augmented reality with human face, and augmented reality in Indoor/Outdoor environment. To be successful in this role, you need a strong machine learning experience with Computer Vision background, experience in deploying models to the cloud such as AWS, solid software development skills and docker, a love of learning, and to collaborate well in multi-disciplinary teams.
A successful candidate will take pride in working with engineers, product managers and business partners to identity and solve the most challenging safety and integrity problems in the internet scale. Candidate will conduct research on deep learning for application processors and multimedia processors with applications such as computer vision, or image and video processing. Candidate will work as part of a team on the system design, implementation, and verification of algorithms for application processors and multimedia processors. As a member of the team, you will develop innovative and sophisticated solutions to some of the most complex strategic business challenges. You will need to exhibit strong communication and leadership skills, an ability to set priorities, and an execution focus in a dynamic environment.
⃟Lead to build the trust and safety machine learning production models.
⃟Work on image classifiers, face detection and tracking, augmented reality, object detectors, video understanding models, multi-modal classifiers, human behavior and expression classification, face identification, and eyes tracking, , etc.
⃟Work with engineering teams to implement model pipeline and deploy the services with training automation.
⃟Collaborate with product teams to define objectives and improve trust and safety strategy.
⃟Collaborate with data analysts to understand and find data patterns.
⃟MS/PhD degree with 2+ years' relevant experience.
⃟Hands on experience in one or more of the areas for still images and videos processes.
⃟Good programming skills in Python and similar languages, and a deep understanding of data structures and algorithms.
⃟Good communication and teamwork skills, be passionate about learning new techniques and taking on challenging problems.
⃟Experience with Cloud platforms such as AWS, Azure, Google Cloud Platform (GCP).
⃟Excellent problem solving and analytical skills
⃟Excellent communication and collaboration skills with strong verbal and written skills.
⃟Passion for delivering business impact
Good to have:
⃟Experience in trust and safety machine learning models.
⃟Publications in top conferences.
⃟Experience in using Deep Learning, Bandits, Probabilistic Graphical Models, or Reinforcement Learning in real applications.
⃟Experience and good understanding of the math behind machine learning classification and regression algorithms.
Job Types: Full-time, Regular / Permanent
Schedule:
Day shift
Morning shift
Experience:
Computer vision: 2 years (Preferred)
Show Less
Report","₹4,09,878 /yr (est.)",Unknown,Company - Public,-1,-1,-1,Unknown / Non-Applicable,0,0,Hire Me Technology Limited,-1,1,0,0,1,1
UniConverge Technologies Pvt. Ltd.,Machine Learning/ Data Science Trainer,Noida,"Job Summary
Give training on Data Science, Machine Learning and AI
Responsibilities and Duties
- Decide course syllabus, contents, and presentations
- Counselling to students
Required Experience, Skills and Qualifications
- Good knowledge about Mathematical models, ML, DS, DL concepts
- Hands on practice on ML Algorithms
- Good knowledge about python
Job Types: Part-time, Freelance
Salary: ₹40,894.00 - ₹94,900.00 per month
Schedule:
Day shift
Evening shift
Weekend availability
Weekend only
Experience:
total work: 3 years (Preferred)
Speak with the employer
+91 7829246239
Show Less
Report","₹67,897 /mo (est.)",Unknown,Company - Public,-1,-1,-1,Unknown / Non-Applicable,0,1,UniConverge Technologies Pvt. Ltd.,-1,1,0,0,0,0
"Mercedes-Benz Research and Development India Private Limited
4.2",Computer Vision Research/ Platform Engineer - Machine Learning,Bangalore,"Aufgaben
Summary:
The research engineer will work with a dynamic team of programmers and algorithm developers to realize in-cabin environment perception using computer vision algorithms for Mercedes-Benz cars.

Necessary Skills:
Proficient in at least two of Python, MATLAB.
Industry/academic experience with machine learning and computer vision programming using libraries such as PyTorch, TensorFlow, OpenCV, Caffe
Strong project experience involving algorithm development for computer vision applications.
Demonstrated past algorithm development in at least one area within machine learning like neural networks, clustering, object tracking.
Experience with object classification, gesture recognition or human pose estimation and training deep neural networks using synthetic and artificial data.
Strong background and understanding of mathematical concepts relating to probabilistic models, conditional probability, numerical methods and linear algebra.
Self-motivated individual with passion towards state-of-the-art computer vision technologies.
Clear communication skills (English)
Qualifikationen
Basic Education:
Masters/Doctorate in Computer/Electronics Engineering with strong programming and scripting skills.



Years of experience: 3 to 6 Years

Nice to have:
Degree from premier institutes in Europe/USA or India (IITs/NITs/IIITs)


Experience with computer vision application development on the lines of gesture recognition, human gaze recognition, semantic segmentation, depth from stereo, object detection and tracking.


Experience working with synthetic and artificial data to solve real world problems.


Exposure to neural network libraries like Caffe, PyTorch, Theano or TensorFlow.
Show Less
Report","₹8,33,972 /yr (est.)",10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1886,Unknown / Non-Applicable,0,0,Mercedes-Benz Research and Development India Private Limited,136,1,0,0,0,0
Hellowork Technologies Pvt Ltd,Data Scientist,Mumbai,"ROLES AND RESPONSIBILITIES * Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. * Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. * Assess the effectiveness and accuracy of new data sources and data gathering techniques. * Develop custom data models and algorithms to apply to data sets. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. SKILLSET REQUIRED * Strong problem-solving skills with an emphasis on product development. * Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets. * Experience working with and creating data architectures. * Knowledge of statistical techniques and concepts is preferred (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. * Excellent written and verbal communication skills for coordinating across teams. * A drive to learn and master new technologies and techniques. CANDIDATE MUST HAVE * R, Python, SQL * Data architectures.
Job Type: Full-time
Salary: ₹1,019,003.06 - ₹1,550,131.97 per year
Schedule:
Day shift
COVID-19 considerations:
yes
Ability to commute/relocate:
Mumbai, Mumbai - 400011, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Experience:
4 total work: 1 year (Preferred)
Speak with the employer
+91 8208108474
Show Less
Report","₹12,84,568 /yr (est.)",Unknown,Company - Public,-1,-1,-1,Unknown / Non-Applicable,0,0,Hellowork Technologies Pvt Ltd,-1,1,0,0,0,1
vwex edutech pvt ltd,Artificial Intelligence and Machine Learning,Thrissur,"Training will be provided online for 3 months initially.
Responsibilities: -
Provide technical leadership and implementation for projects supporting our AI and machine learning goals
Modify, implement, test and support all product related technology and functionality, including software infrastructure
Communicate proactively with team members and product stakeholders in a highly agile environment
Self-manage tasks with little oversight and deliver results according to stated timelines and budgets
Requirements
B-Tech / M-Tech graduates in computer science or similar field.
Strong to expert ability in Python as a primary language
Experience building automated processes that are supportable, monitored and enterprise-scale
Extensive experience building Chatbots, Voicebots and NLP processing
Experience working with and integrating services from popular ML packages such as Keras, TensorFlow, XGBoost and SciKit Learn
Above average capabilities with cloud computing techniques or tools such as S3, EC2, EMR, SageMaker, ECS, Lambda, IAM
SQL design and development skills
Strong drive to learn and advocate for development best practices (TDD, code reviews, continuous integration, etc.)
Strong interpersonal and communication skills
1+ experience
Job Types: Full-time, Regular / Permanent
Salary: From ₹15,000.00 per month
Speak with the employer
+91 9526637373
Show Less
Report","₹15,000 /mo (est.)",-1,-1,-1,-1,-1,-1,0,1,vwex edutech pvt ltd,-1,1,0,0,0,0
Cloud tech Mind Solutions,Data science and ML Trainer,Chennai,"Python , EDA , Statistics Inferential Statistics ,Unsupervised Learning , Supervised Learning .
Advanced:
Boosting Boosting Algorithm Distribution and Parameter Calc Adaboost Lab Understanding Gradient Boosting Gradient Boosting Algorithm Gradient Boosting Consolidated XGBOOST - Theory Practices Lab Model Selection Choosing DTs and RandomForests End to End Modelling CART and CHAID
Job Type: Part-time
Part-time hours: 10 per week
Salary: ₹1,000.00 - ₹2,000.00 per hour
Schedule:
Flexible shift
Supplemental pay types:
Commission pay
Ability to commute/relocate:
Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 3 years (Preferred)
Show Less
Report","₹1,730.77 /hr (est.)",-1,-1,-1,-1,-1,-1,1,0,Cloud tech Mind Solutions,-1,1,0,0,0,0
"Samsung Electro-Mechanics
3.5",Machine Learning Engineer,Bangalore,"Job Responsibilities:
·Work with deep learning experts to design and implement networks optimized for GPU-accelerated inference
·Develop advanced inference engine techniques to enable real-time deployment of models
·Deploy productized networks to run efficiently on our hardware
·Develop tools for profiling, analyzing, and improving both training and inference performance
Experience:
A minimum of 2 years of relevant experience in a similar role
Qualification:
Bachelor of Engineering (BTECH / BE) or Masters (MTECH / MS / MCA ) in Computer Science / Information Science or Ph.D in Computer Science
Skills Required:
Essential
· Excellent in machine learning and deep learning concepts such as
· Data understanding and analysis
· Supervised/ Unsupervised/semi-supervised learning
· CNN for classification
· RNN for time series data analysis
· Object detection and classification
· Excellent C/C++ and Python programming and software design skills
· Intimate understanding and hands on experience of using computer vision and machine learning libraries such as Tensorflow, Caffe, Torch
· Proven GPU programming (e.g., CUDA, OpenCL) track record
Desirable
· Code contributions to an open-source deep learning community
· Experience using GPU-accelerated libraries (e.g., cuDNN and cuBLAS)
· Experience with code generation & optimization
· Experience with network model compression and quantization
· Exposure to TensorRT kinds of tool for DL implementation
Job Type: Full-time
Salary: From ₹100,000.00 per month
Benefits:
Flexible schedule
Health insurance
Internet reimbursement
Schedule:
Day shift
Supplemental pay types:
Joining bonus
Overtime pay
Performance bonus
Shift allowance
Yearly bonus
Experience:
total work: 3 years (Preferred)
Speak with the employer
+91 9148758311
Show Less
Report","₹1,00,000 /mo (est.)",1001 to 5000 Employees,Subsidiary or Business Segment,Information Technology,Computer Hardware Development,1938,$10+ billion (USD),0,1,Samsung Electro-Mechanics,84,1,0,0,0,1
Neubaitics Tech Pvt Ltd,Ai/ML trainer,Salem,"We are seeking highly motivated and talented DataScience /AI/ML Trainer to Join our Team
Responsibilities
1. Conducting training sessions/lectures to students as per the teaching methodology of the institute in Data Science to students.
2. Plan and Design hackathons, webinars
3. The candidate must have an in-depth knowledge of concepts and be able to give project work to the students trained under him.
4.1+ year experience in Artificial Intelligence, Machine Learning, Deep Learning, and NLP field.
Qualifications
1. Degree in a quantitative field (e.g. Computer Science, Engineering, Mathematics, or other related fields)
2. Excellent verbal and written communication skills
3. Experience with ML, deep learning, TensorFlow, Python, NLP
4. Strong communication skills
Job Type: Full-time
Pay: ₹30,000.00 - ₹35,000.00 per month
Benefits:
Paid sick time
Schedule:
Monday to Friday
Supplemental pay types:
Performance bonus
Yearly bonus
Ability to commute/relocate:
opp to central library, Salem - 636007, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Teaching: 1 year (Preferred)
total work: 1 year (Preferred)
Language:
English (Preferred)
Application Deadline: 22/12/2022
Expected Start Date: 25/12/2022
Show Less
Report","₹32,500 /mo (est.)",-1,-1,-1,-1,-1,-1,0,1,Neubaitics Tech Pvt Ltd,-1,1,0,0,0,1
DeployAD.Inc,Machine Learning Engineer,Nilambūr,"Urgently Require Machine Learning Engineer.
Requirements: -
Graduate ( Preferably Science/ Computer Science/ Electronic and Engineering/ Information Technology)
5 years of industry experience and 1 year of Experience in teaching.
Strong understanding of theory and practice in Machine Learning and AI
Proven ability to communicate technical knowledge to students.
Job Types: Full-time, Regular / Permanent
Salary: ₹30,000.00 - ₹35,000.00 per month
Schedule:
Day shift
Speak with the employer
+91 8139074545
Show Less
Report","₹32,500 /mo (est.)",-1,-1,-1,-1,-1,-1,0,1,DeployAD.Inc,-1,0,0,0,0,0
"Nestsoft technologies
2.9",Python AI / ML (Online Trainer Part Time),Remote,"Online
Experience: 1 Years To 5 Years Salary : 10000- 25000 (Month) Part Time

Qualification Required: Any Graduate
Skills Required: Python, Machine Learning, Artificial Intelligence, Deep Learning, Data Science
Details: Wanted part time online trainer for Python, Machine Learning, Artificial Intelligence, Deep Learning, Data Science. While you are working as developer you can also work as trainer with us. It will get more income to your skills and experience. We need expert developers as trainer.. Please do not call/whatsapp to any of our company mobile(s). Apply through our website or by email to hr@nestsoft.com
Show Less
Report","$17,500 /mo (est.)",51 to 200 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable,0,1,Nestsoft technologies,-1,1,0,0,0,0
Innomatics Research Labs,Machine Learning and AI Trainer,Hyderābād,"Job description
Experience
Minimum 4+ Years of experience in machine learning & data analytics,AI.
Expert knowledge in Python, Statistics, Machine Learning, Artificial Neural Networks, Convolutional Neural Networks, Recurrent Neural Networks, and NLP.
Very good knowledge of Django/Flask, SQL, and TABLEAU is preferable.
Deployment on AWS/GCP/Azure is preferable.
Real-Time experience of working on Data Science (ML, DL & NLP) Projects is mandatory.
Methodical and Aggressive learner.
Roles & Responsibilities:
Should be willing to handle Offline & Online training sessions.
Deliver daily lectures and maintain high lecture rating
Identify the gaps in learning when working with students.
Design and develop engaging study material and content.
Good at managing the cross-team effort
Develop and deliver a complete end to end Data Science Projects
Job Types: Full-time, Part-time, Regular / Permanent, Freelance
Salary: Up to ₹1,200,000.00 per year
Schedule:
Morning shift
Ability to commute/relocate:
Nizampet X roads, Hyderabad - 500085, Telangana: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Job Types: Full-time, Part-time, Regular / Permanent, Freelance
Salary: Up to ₹1,200,000.00 per year
Schedule:
Morning shift
Ability to commute/relocate:
Hyderabad - 500085, Telangana: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Speak with the employer
+91 8008441993
Show Less
Report","₹12,00,000 /yr (est.)",-1,-1,-1,-1,-1,-1,0,0,Innomatics Research Labs,-1,1,0,0,1,0
"Mercedes-Benz Research and Development India Private Limited
4.2",Computer Vision Research Engineer - Machine Learning,Bangalore,"Aufgaben
Summary:
The research engineer will work with a dynamic team of programmers and algorithm developers to realize in-cabin environment perception using computer vision algorithms for Mercedes-Benz cars.

Necessary Skills:
Proficient in at least two of Python, MATLAB.
Industry/academic experience with machine learning and computer vision programming using libraries such as PyTorch, TensorFlow, OpenCV, Caffe
Strong project experience involving algorithm development for computer vision applications.
Demonstrated past algorithm development in at least one area within machine learning like neural networks, clustering, object tracking.
Experience with object classification, gesture recognition or human pose estimation and training deep neural networks using synthetic and artificial data.
Strong background and understanding of mathematical concepts relating to probabilistic models, conditional probability, numerical methods and linear algebra.
Self-motivated individual with passion towards state-of-the-art computer vision technologies.
Clear communication skills (English)
Qualifikationen
Basic Education:
Masters/Doctorate in Computer/Electronics Engineering with strong programming and scripting skills.



Years of experience: 2 to 8 Years

Nice to have:
Degree from premier institutes in Europe/USA or India (IITs/NITs/IIITs)


Experience with computer vision application development on the lines of gesture recognition, human gaze recognition, semantic segmentation, depth from stereo, object detection and tracking.


Experience working with synthetic and artificial data to solve real world problems.


Exposure to neural network libraries like Caffe, PyTorch, Theano or TensorFlow.
Show Less
Report","₹3,95,753 /yr (est.)",10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1886,Unknown / Non-Applicable,0,0,Mercedes-Benz Research and Development India Private Limited,136,1,0,0,0,0
"Alphanet
4.4",Machine Learning Engineer,Mohali,"Machine Learning Engineer / Automation
WFH
Day Shift
Machine learning engineer who can code like a software programmer
BS, MS or PhD in a quantitative field (CS, Engineering, Physics, etc.)
Would ideally prefer a Software Engineering background with Quantitative experience.
ESSENTIAL SKILLS
Strong hands-on coding experience in Python.
Proficient in ML/DS frameworks including pandas, numpy, jupyter, etc. Familiar with OOP design and maintain good coding practice (unit testing, docsings, versioning, etc.)
Streamlining data processing pipeline with Airflow, Snowflake, AWS S3, etc.
GOOD TO HAVE
Experience in building any of these systems is a strong plus:
Interactive dashboard and/or data visualization with dash plotly, streamlit, react, etc.
Any other large, complex Python software
Basic understanding of data analytics and/or machine learning algorithms (e.g., neural networks, tree-based methods, unsupervised learning, etc) and statistics
Job Types: Full-time, Regular / Permanent
Salary: ₹1,500,000.00 - ₹3,000,000.00 per year
Benefits:
Health insurance
Schedule:
Evening shift
Flexible shift
Monday to Friday
Morning shift
Night shift
Supplemental pay types:
Joining bonus
Performance bonus
Show Less
Report","₹22,50,000 /yr (est.)",201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2001,$25 to $50 million (USD),0,0,Alphanet,21,1,0,0,1,0
Nustar technologies,Machine Learning Engineer,India,"JOB LOCATION - BHUBANESHWAR
EXPERIENCE - 4+ YEARS
Good communication skills
Good Interpersonal and collaboration skills.
Ability to work in a team
Demonstrated work experience in Machine Learning projects
Ability to write code in Python and Java/R
Knowledge of the basics of math, probability, statistics, and algorithms
Experience in working with ML frameworks like TensorFlow and Keras.
Experience in working with various ML libraries and packages like Scikit learn, Theano, Tensorflow, Matplotlib, Caffe, etc.
Good understanding and strong knowledge of algorithms and statistics
Knowledge of data modeling, software architecture, and data structure
Job Type: Full-time
Salary: ₹355,158.58 - ₹1,581,093.92 per year
Schedule:
Day shift
Ability to commute/relocate:
Bhubaneshwar - 750001, Odisha: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 4 years (Preferred)
Show Less
Report","₹9,68,126 /yr (est.)",-1,-1,-1,-1,-1,-1,0,0,Nustar technologies,-1,1,0,0,0,0
AgEye Technologies,Computer Vision Engineer,Bangalore,"Job: Computer Vision Engineer
Position Type: Full-time – Permanent
Location: Bangalore, Karnataka (IN)
Key Responsibilities:
Working with the data science team to research, develop, evaluate and optimize various computer vision and deep learning models for different problems.
Explore and analyze unstructured data like images through image processing.
Take ownership to drive computer vision solutions and meet customer requirements.
Deploying developed computer vision models on edge devices after optimization to meet customer requirements and maintain them to later improve to address additional customer requirements in future.
Required Characteristics:
MSc or PhD in Computer Science, Data Science, Machine Learning or in related fields preferred but candidates with Bachelor’s degree in computer science are also welcome to apply provided they have a strong technical knowledge and experience in computer vision.
Understanding about depth and breadth of computer vision and deep learning algorithms.
At least 2 years of experience in computer vision and/or deep learning for object detection and tracking along with semantic or instance segmentation either in academic or industrial domain.
Experience with any machine/deep learning frameworks like Tensorflow, Keras and PyTorch.
Experience in training models through GPU computing using NVIDIA CUDA or on cloud.
Ability to transform research articles into the working solutions to solve real-world problems.
Strong experience in using both basic and advanced image processing algorithms for feature engineering.
Proficiency in Python and related packages like numpy, scikit-image, PIL, opencv, matplotlib, seaborn, etc.
Excellent written and verbal communication skills for effectively communicating with the team and ability to presenting information to varied technical and non-technical audience.
Must be able to produce solutions independently in an organized manner and also be able to work in a team when required.
Must have good Object-Oriented Programing & logical analysis skills in Python.
Preferred Characteristics (not mandatory to have all):
Strong foundation in data structures and algorithms in Python or C++
Advanced knowledge in performance, scalability, numerical accuracy and best practices for implementing various solutions.
Proficiency with edge computing principles and architecture preferably for NVIDIA Jetson devices and Raspberry Pi.
Experience in different model optimization techniques apart from hyperparameter tuning to reduce memory usage without hindering the performance for deploying on edge devices.
Proficiency with AWS or Azure cloud computing environments.
Exposure to IoT technology.
Experience in Agile Application Development and Scrum methodologies to develop efficient, maintainable, readable and production-ready pipelines.
Must have curiosity, eagerness and motivation to be involved in Data Science and Image Processing.
Job Type: Full-time
Salary: ₹400,000.00 - ₹1,500,000.00 per year
Benefits:
Flexible schedule
Health insurance
Life insurance
Paid sick time
Provident Fund
Schedule:
Day shift
Flexible shift
Monday to Friday
Speak with the employer
+91 9113072108
Show Less
Report","₹9,50,000 /yr (est.)",-1,-1,-1,-1,-1,-1,0,0,AgEye Technologies,-1,1,0,0,1,1
